Genenames	KeggTerms
Cluster-17946.0	ko04014
Cluster-78692.0	ko04014
Cluster-2917.43484	ko04014
Cluster-63042.0	ko04014
Cluster-2917.117818	ko04014
Cluster-2917.26924	ko04014
Cluster-2917.23286	ko04014
Cluster-2917.145029	ko04014
Cluster-2917.48823	ko04014
Cluster-691.0	ko04014
Cluster-2917.118404	ko04014
Cluster-77417.0	ko04014
Cluster-65602.0	ko04014
Cluster-2917.59714	ko04014
Cluster-2917.135962	ko04071
Cluster-66135.0	ko04071
Cluster-2917.148784	ko04071
Cluster-2917.100021	ko04071
Cluster-2917.55791	ko04071
Cluster-2917.114607	ko04071
Cluster-2917.147438	ko04071
Cluster-2917.116716	ko04071
Cluster-57856.0	ko04071
Cluster-51424.1	ko04071
Cluster-2917.70710	ko04071
Cluster-2917.144376	ko04071
Cluster-2917.77765	ko04071
Cluster-2917.85326	ko04071
Cluster-2917.114196	ko04071
Cluster-2917.161062	ko04071
Cluster-2917.120722	ko04071
Cluster-2917.62727	ko04071
Cluster-2917.120618	ko04071
Cluster-2917.59714	ko04071
Cluster-63042.0	ko04071
Cluster-2917.145029	ko04071
Cluster-17946.0	ko04071
Cluster-2917.133010	ko04071
Cluster-2917.154667	ko04071
Cluster-2917.37452	ko04350
Cluster-759.0	ko04350
Cluster-66756.0	ko04350
Cluster-2917.100021	ko04350
Cluster-2917.120618	ko04350
Cluster-2917.66505	ko04350
Cluster-2917.103077	ko04350
Cluster-2917.120722	ko04350
Cluster-2917.114799	ko04350
Cluster-16897.0	ko04668
Cluster-2917.163837	ko04668
Cluster-51424.1	ko04668
Cluster-2917.145029	ko04668
Cluster-2917.144376	ko04668
Cluster-17946.0	ko04668
Cluster-2917.102131	ko04668
Cluster-2917.135962	ko04668
Cluster-2917.81141	ko04668
Cluster-2917.59714	ko04668
Cluster-2917.110850	ko04668
Cluster-2917.125094	ko04668
Cluster-63626.0	ko04668
Cluster-51424.1	ko04370
Cluster-2917.59714	ko04370
Cluster-63042.0	ko04370
Cluster-66135.0	ko04370
Cluster-57856.0	ko04370
Cluster-17946.0	ko04370
Cluster-2917.109234	ko04370
Cluster-2917.105601	ko04310
Cluster-2917.73017	ko04310
Cluster-57856.0	ko04310
Cluster-2917.136236	ko04310
Cluster-2917.66505	ko04310
Cluster-2917.57803	ko04310
Cluster-2917.135962	ko04310
Cluster-2917.51624	ko04310
Cluster-335.0	ko04310
Cluster-2917.147438	ko04310
Cluster-2917.37452	ko04310
Cluster-759.0	ko04310
Cluster-48310.0	ko04310
Cluster-2917.100021	ko04310
Cluster-2917.65952	ko04310
Cluster-63042.0	ko04310
Cluster-2917.85661	ko04310
Cluster-2917.40404	ko04310
Cluster-2917.49911	ko04310
Cluster-2917.40051	ko04310
Cluster-2917.159413	ko04310
Cluster-2917.113383	ko04310
Cluster-2917.136236	ko04024
Cluster-57856.0	ko04024
Cluster-2917.95294	ko04024
Cluster-2917.101496	ko04024
Cluster-2917.43610	ko04024
Cluster-2917.86390	ko04024
Cluster-2917.124421	ko04024
Cluster-2917.135962	ko04024
Cluster-2917.100021	ko04024
Cluster-2917.145029	ko04024
Cluster-2917.117818	ko04024
